Total Time Per Meal,Satisfaction Score
14,4.75
9,6.5
8,3.625
11,5.875
9,6.0
17,4.5
7,4.25
11,5.625
20,5.75
12,6.375
14,5.25
2,1.5
10,6.75
15,5.875
12,5.0
19,4.625
6,3.125
18,5.625
19,4.5
3,4.25
7,3.875
9,5.625
11,6.125
16,8.125
15,2.875
10,5.375
10,4.375
9,3.375
8,5.125
12,4.625
10,4.375
8,5.75
10,2.875
13,5.75
7,4.75
11,5.25
14,2.625
15,4.875
7,5.375
2,4.875
8,3.625
14,6.25
5,4.625
7,3.75
10,3.5
20,5.875
10,3.375
15,5.625
7,5.375
19,5.5
9,6.0
8,2.625
11,5.625
10,5.625
10,4.375
17,5.875
17,6.875
18,4.875
19,5.375
8,6.0
9,4.375
10,5.875
12,5.375
17,3.125
18,7.125
9,3.625
7,2.25
9,5.0
9,6.125
11,6.5
13,5.75
10,4.75
5,4.25
10,4.875
11,5.25
16,4.125
7,4.25
4,4.5
5,3.625
16,5.0
8,3.25
10,2.125
17,6.75
14,6.125
12,4.375
13,5.125
8,4.625
8,4.25
19,5.625
14,4.125
13,4.875
14,4.875
9,4.75
13,3.0
3,5.5
11,3.625
14,7.125
14,5.875
11,8.0
5,3.625
15,4.75
7,3.625
15,4.625
16,5.75
14,4.875
8,4.875
6,4.125
7,3.875
16,5.25
7,3.0
10,2.625
13,4.375
2,3.75
18,6.625
3,3.375
9,6.625
12,5.25
7,4.25
10,4.25
3,3.125
15,4.125
7,5.25
13,5.5
4,1.625
10,2.25
6,3.75
6,5.0
14,4.0
16,6.5
5,6.125
11,4.125
2,4.625
10,2.875
15,4.0
14,5.5
9,5.75
16,6.25
13,4.75
16,5.875
8,4.375
12,4.875
8,4.75
13,4.25
6,3.375
7,3.375
18,6.125
15,3.375
9,4.125
15,5.0
10,6.375
11,4.375
12,3.25
19,5.0
2,5.0
14,6.25
13,4.5
7,4.875
7,6.0
8,3.5
6,3.625
11,5.25
2,5.25
14,7.625
10,5.5
12,4.625
6,3.75
11,4.375
6,3.25
13,5.125
11,7.75
12,3.375
13,2.625
14,4.75
10,3.75
6,4.5
15,6.25
13,4.5
6,3.875
14,5.75
15,6.125
7,6.0
3,3.25
5,3.125
8,3.5
8,3.125
7,2.875
9,4.375
15,5.875
12,5.75
18,7.0
3,4.625
15,3.75
9,4.875
17,6.25
11,4.125
14,4.625
14,5.75
14,4.75
8,3.875
18,5.0
9,2.5
5,3.375
17,6.875
5,2.25
11,5.375
13,7.5
7,2.75
4,3.625
11,4.25
8,1.75
18,5.125
19,7.125
6,4.25
6,3.875
11,3.75
17,6.0
12,5.625
6,5.0
8,3.5
11,6.75
5,2.75
7,6.5
12,4.625
12,4.5
9,5.625
9,2.125
8,3.875
17,5.625
12,4.75
14,6.125
11,4.875
5,4.375
6,3.375
13,4.0
18,5.75
10,2.125
18,7.875
15,5.0
16,4.375
16,5.875
8,4.125
17,4.125
14,5.125
11,4.625
4,2.375
3,2.25
12,4.75
5,4.875
10,5.875
13,4.25
16,6.5
13,4.75
18,5.375
8,4.25
4,4.0
16,4.625
13,2.0
18,7.875
12,7.0
14,3.75
11,5.5
14,3.25
8,2.875
20,6.0
16,3.25
9,3.625
11,5.125
14,4.5
17,6.125
17,5.125
9,6.375
10,6.0
19,4.375
18,4.875
3,4.875
9,3.125
7,6.375
9,2.75
12,4.25
3,5.0
3,5.25
8,7.0
6,4.5
7,4.25
7,3.625
16,5.0
11,3.875
9,5.0
20,3.625
18,7.5
8,5.25
14,6.0
2,4.625
14,4.375
17,5.75
9,3.75
17,7.25
14,6.625
12,4.125
2,5.0
19,6.875
15,4.625
9,6.125
20,6.75
3,4.25
4,5.0
13,2.75
10,7.125
11,3.0
13,4.875
10,3.125
5,2.0
14,4.0
11,5.125
16,4.375
16,6.25
5,4.625
4,3.625
2,5.75
4,3.875
3,2.875
9,4.5
9,4.25
15,4.375
12,4.125
9,7.0
10,6.875
7,4.875
9,5.25
18,4.625
7,2.25
13,4.625
11,5.625
16,4.625
16,6.75
4,4.875
10,6.625
19,6.25
9,3.75
13,6.0
6,4.25
13,6.875
10,2.125
11,6.0
17,6.625
12,5.125
10,5.25
12,2.875
12,4.5
15,4.75
9,3.5
10,7.0
10,5.125
9,1.75
8,5.0
7,3.0
13,3.75
14,5.5
12,5.375
10,2.5
13,3.5
5,3.375
12,6.75
11,6.625
6,5.125
5,2.625
12,4.25
6,3.375
8,4.875
12,6.25
10,3.625
7,3.125
9,5.125
3,1.25
10,6.875
4,2.75
12,5.75
4,5.375
13,6.875
17,3.5
16,4.125
14,3.875
12,4.125
11,5.875
9,4.0
9,5.75
5,3.375
18,5.875
7,5.75
12,6.75
10,5.0
10,5.125
14,3.75
9,4.25
11,5.0
6,2.125
7,4.0
11,5.625
9,4.75
10,4.75
12,4.125
13,6.875
4,4.375
12,3.75
10,5.25
13,4.25
11,7.375
15,4.875
4,5.25
5,5.75
13,4.5
10,4.5
12,3.25
11,6.5
4,3.125
13,4.375
18,6.125
8,3.625
6,6.0
11,4.375
16,5.125
9,4.375
19,5.875
17,6.875
5,1.75
11,5.625
19,5.0
8,4.25
15,4.875
4,5.0
5,3.125
11,3.75
7,4.0
8,4.875
11,6.5
12,4.625
16,5.875
5,6.125
8,3.75
4,5.0
8,4.75
10,6.25
14,5.75
8,3.375
11,4.125
18,6.375
11,5.0
7,5.0
10,4.5
11,3.75
14,4.75
6,4.0
5,4.0
10,3.125
12,4.125
13,3.125
14,5.0
18,7.875
9,5.625
7,4.25
14,4.25
13,2.875
15,4.25
9,4.875
16,5.375
9,6.5
17,5.375
10,6.625
10,5.5
14,6.25
17,6.5
12,5.0
9,4.125
9,4.0
7,5.5
11,3.5
3,3.375
13,3.5
2,4.0
11,4.5
15,6.5
13,3.25
13,3.5
18,5.0
15,6.125
8,4.5
7,4.0
17,5.25
15,6.125
8,3.875
19,6.75
9,5.5
11,3.25
16,6.625
14,4.75
14,5.625
18,5.0
10,3.75
5,5.0
11,2.375
12,4.25
11,4.125
5,3.875
8,3.375
10,3.0
12,3.875
7,4.875
16,5.125
13,3.75
3,5.0
5,6.375
7,6.0
11,5.25
18,6.625
9,6.375
10,6.0
14,2.0
6,4.0
8,3.25
12,6.375
10,5.75
8,4.875
11,6.0
15,3.75
17,4.5
7,4.75
11,4.875
4,5.0
2,4.25
7,3.375
11,5.375
13,5.0
17,5.5
9,5.0
6,4.125
10,3.625
14,6.25
8,5.25
12,5.25
13,3.0
11,3.25
10,7.375
14,4.5
11,4.375
6,3.125
5,5.0
12,4.625
11,4.0
12,2.375
12,6.0
5,4.0
10,5.75
7,4.125
12,2.25
8,4.0
12,3.5
3,3.625
11,3.875
