Total Time Per Meal,Satisfaction Score
23,3.791666666666667
14,4.541666666666667
17,5.333333333333333
21,6.041666666666666
7,3.375
10,6.166666666666667
22,4.916666666666667
15,3.916666666666667
18,5.833333333333333
15,6.916666666666667
11,5.25
13,5.333333333333333
21,3.625
16,3.458333333333333
6,5.458333333333333
16,5.291666666666667
14,5.583333333333333
4,7.75
19,6.541666666666667
8,4.0
14,5.208333333333333
23,6.125
18,6.166666666666667
21,4.291666666666667
28,4.583333333333333
7,7.125
26,6.125
26,4.833333333333333
14,4.458333333333333
18,4.625
13,6.333333333333333
10,5.791666666666667
11,3.9583333333333335
12,6.291666666666667
24,7.958333333333333
17,3.833333333333333
26,4.166666666666666
16,2.7916666666666665
21,3.75
19,5.083333333333333
13,3.583333333333333
12,3.75
6,5.708333333333334
14,4.541666666666667
11,4.291666666666666
23,5.208333333333333
13,4.458333333333333
12,5.5
8,4.958333333333333
20,4.0
16,7.041666666666667
24,5.583333333333333
9,5.583333333333333
12,6.041666666666666
15,6.75
26,4.458333333333333
14,5.583333333333334
14,5.166666666666667
15,3.2916666666666665
26,5.875
15,4.0
23,5.208333333333333
27,6.125
18,5.541666666666666
21,4.083333333333333
8,7.666666666666667
18,4.791666666666666
8,7.25
19,3.791666666666667
13,6.5
17,4.083333333333333
20,5.541666666666667
15,6.125
22,6.625
16,6.708333333333333
14,6.25
9,3.9583333333333335
11,6.208333333333333
20,4.416666666666667
24,4.791666666666667
26,5.125
25,6.083333333333334
17,5.875
15,3.1666666666666665
19,5.0
16,3.875
19,4.541666666666667
11,4.25
18,6.041666666666667
11,5.916666666666667
20,4.041666666666667
24,5.708333333333333
16,5.916666666666667
16,6.125
20,4.875
18,7.125
20,7.416666666666666
28,6.041666666666667
19,5.541666666666667
25,5.75
13,6.416666666666667
11,3.083333333333333
20,6.375
13,4.708333333333333
21,5.333333333333334
7,5.791666666666667
11,6.125
24,5.208333333333333
22,6.333333333333333
14,6.666666666666667
9,2.958333333333333
16,4.291666666666667
17,4.166666666666667
10,5.833333333333333
19,3.833333333333333
18,5.75
15,6.458333333333333
18,6.458333333333333
11,6.041666666666666
13,4.791666666666667
15,3.375
15,6.666666666666667
15,5.375
9,4.041666666666667
18,5.583333333333333
16,3.625
19,5.083333333333334
20,5.333333333333333
17,7.25
21,5.833333333333333
17,5.208333333333334
11,3.9583333333333335
12,5.666666666666667
19,5.875
25,4.833333333333334
18,7.166666666666667
20,2.958333333333333
19,5.083333333333333
24,4.958333333333333
6,3.958333333333333
10,5.708333333333334
6,5.291666666666666
17,5.0
23,6.625
22,3.75
22,5.083333333333333
15,5.375
17,5.875
19,6.0
22,4.708333333333333
29,5.75
19,5.583333333333333
15,5.458333333333333
15,4.833333333333334
22,6.625
22,4.541666666666666
15,4.5
13,5.916666666666667
22,3.5416666666666665
16,5.625
21,5.625
23,5.583333333333333
18,4.791666666666666
16,4.791666666666667
18,7.916666666666666
16,5.75
14,6.083333333333333
19,6.125
13,6.708333333333333
13,7.208333333333333
